28,Super quiet and efficient,"I expected to hear something from this humidifier but honestly it makes no sound! We keep it on automatic so it maintains the humidity between 40-50% on its own. Since using it, our noses haven't been as dry this winter. The bight mode turns off the display for those bothered by lights while sleeping (my favorite feature). Others mentioned needing an app, I have not downloaded anything and mine works fine."
29,Excellent product!,This humidifier seems to have it all. Having an automatic shut off when the tank is empty with an alert to a smart phone is a clear plus. The entire top of the tank is easily lifted off for both filling and emptying. It puts out copious moisture and does a great job of  humidifying my large room. Love this humidifier!
30,the tank is huge.,"I have multiple humidifiers scattered around my 2 bedroom apt.  This one is gives great coverage, but I do find it hard to clean the nooks and crannies.  I bought it because of its open top which was supposed to offer access to all.  It comes close but there are still places I cant reach.  And it matters."
31,Great Option for a Single Room Humidifier,"Love this product.  It's effective, quiet, and easy to keep clean.  Like the app too."
32,Leaking!!,I have only had this product a few months and it started leaking out the side and all over. I'm very disappointed that this humidifier lasted less than 6 months.
33,I love the app that I can control it with!,This is one of the best humidifiers. The humidity isn¡¯t always entirely accurate but it¡¯s been great for my plants! I love that I can use an app! Also it puts out a lot of smell from the essential oil tray.
34,Best out of the last 4 humidifiers I¡¯ve bought!!!,"I would highly recommend LEVOIT Humidifier to any of my friends and family who needed 1. It works great! The water will last about a week, without having to fill again. I bought 3 other brands. 1 of them didn't adjust below 55 degrees, the other 1 didn¡¯t let you adjust lower than 75% and all of the other 3 had to be filled every 24-36 hours."
35,Easy to use,This is a great humidifier. I definitely recommend it. The only thing I struggled with was how to change the target humidity level for the auto mode and then I accidentally found it by swiping up on the app and things are good now.
36,Love the top fill.,Great humidifier.  Have 1 in the living room and one in the dining room.  Small but work well for my needs.  Top fill is great!
37,Annoying high pitched noise,"It was good for the first 2 months though it¡¯s annoying that you have to use app to make some basic changes, like desired humidity etc. But the most horrible thing is it has a super high pitched noise while running and no way to sleep with this thing on. I own couple humidifiers from this brand, only one is still running quietly, another older model does have noise, but not as crazy as this one."
38,Easy to use and so quiet!,Easy to use and so quiet!  Love it.
39,"Quiet, easy, amazing","Was easy to set up, is easy to fill, makes NO noise whatsoever and keeps the humidity level between 42-52%."
40,Excellent humidifier,Works perfectly as described. Love the app feature.
41,Best Humidifier Ever,I have never had a humidifier that ran so quietly.  It supports our large bedroom and even has a number setting that is large and bright to read.  I would recommend this to anyone who needed a humidifier.
42,Ordered overnight and got it in the morning,"Easy to use, app is easy too. Happy with it."
43,,"My houseplants need more humidity because I use the heater during the winter months.  The humidifier helps keep my plants healthy.  This humidifier has a large water tank, so I don¡¯t have to refill often, which is definitely a plus."
44,inconvenient,"you have to use purified or distilled water, this is a pain to have to buy water every day, the 6 quarts doesn't even last a day"
45,A Good Overall Product,I am beginning to turn my home into a Smart Home without a hub and this product works very well with Alexa. It does what it is supposed to do. My water is softened so there is a salt residue but the Humidifier has been working perfectly all winter.
46,Lifesaver,This thing is great!  I love love love it.  It¡¯s pretty easy to use with app.  Works amazingly.
47,it is soooooo quiet!!!!  i can control it remotely!!!!,i really love it & my dog loves it too!!!! the dog has had bronchitis due to running the a/c all day.  we solved his problem!  it's so quiet you don't even know it's on except for the mist.
48,Easy to fill and use.,"Silent and efficient operation, easy setup."
49,Hands down best humidifier.,We have gone through a dozen humidifiers. Save your money and buy this one (we bought two). Does not cost ¡°wetness¡± in areas of the vapors. Controls are clean and simple. App is awesome. Added option of ability to add essential oils. Highly recommend.
50,"Wi-fi a little iffy, otherwise great","As a humidifier, it works great, is quiet and easy to fill.  On the other hand, setting up the wi-fi was a pain in the keister.  Regardless, I still recommend it."
51,Quiet and long lasting vapor,super quiet and easy to refill
52,"""I love this thing"" -my girlfriend after I broke her other humidifier",Very good. Humidifies well. Does not use too much water. Easy to clean. Quiet. Actually cute looking
53,Quite and work nice,"Like it in general.

-: the hygrometer is not correct. May affect the auto mode. It may wet area near it more but it¡¯s a problem of such type of humidifier.
+: tank size is enough for three nights use on high mode."
54,Leaks right out of the box, Just got it unboxed it and put water in it amd water leaks right from the tank. The seam is at the bottom held by glue which mean eventually it can leak even if I change it because it is a bad design. Should either have been molded 1 piece at the bottom or use oring with clasp or screws to hold it together.
55,"Sleep mode does not work, but it's easy to clean and the tank is huge so it's easy to refill.","I use this every night to keep my sinuses and skin from acting up, and I really like this humidifier. I have to block the light from the buttons with a plant because sleep mode seems to just turn it off which is sort of stupid, but other than that it's great. I clean this by letting it soak in white vinegar weekly (just soaking the bottom portion, not putting vinegar in the actual tank) and it looks brand new still."
56,"The fanciest, quietist and sleek humidifier ever",I have no complaints. This is our second levoit product (we also have an air purifier) and they are so sleek yet so user friendly! Love.
57,Best product,Loved it
58,Easy to clean,I¡¯m pleased that it is easy to clean and refill and quiet running.
59,Quiet and efficient,"It¡¯s usually 30-40% or lower humidity in our Sierra Nevada home with thinner air in our slightly higher elevation. We usually have extremely dry, cracked noses where we constantly use saline nasal spray and lots of tissues. After much research, we decided to go with this cool air humidifier (cool air is healthier anyways). It is quiet enough we have to make sure it¡¯s on and we even bought another for our baby¡¯s room (the Frida baby humidifier we had could not keep up with the dryness and stayed at 40% humidity even on high and requires more water refills). We fill our humidifier up every night with a little over 1 gallon of distilled water. We¡¯ve been using it with an Aqua Stick which helped maintain the cleanliness in between cleaning (Part Vinegar and Part distilled solution and let it sit then scrub after). We used distilled water because the water here is so bad and heavily calcifies (military base housing), but it really makes a difference and doesn¡¯t cause buildups. We registered for the warranty with no problem, but we did not download any apps because we aren¡¯t lazy and can easily, manually turn off the screen by holding down the nightlight button. We keep the humidifier on high throughout the night starting from 5pm until 8am (humidity levels reach 70+%) and water level is still at about 1/4 full. Definitely recommend getting this humidifier (along with a humidifier cleaner stick) if you¡¯re looking for a quality humidifier."
60,Best humidifier I have ever had,This was easy to put together. Set it up in my Dads room it runs 24/7 on low. No problems with it at all. No noise and easy to cleans. Would highly recommend this unit. Love the oil option for smell.
61,SOOO QUIET!!!,"We have bought more expensive machines, and this one beats them all! It is virtually noise-less (like soo quiet) and is easy to refill with a large tank. It is a smart system which knows when to release steam and not, and we love how low maintenance it is. Set it and forget it. Just refill when needed. Cleaning is easy too. A+ all around."
62,Not too big but holds a good amount of water,I like the tray to put the oils on for the smell factor.  It holds water to last a couple of nights and has 3 different settings depending how much moisture you want. For a bedroom the low is good but a larger room could use the higher settings
63,Does the job,"It¡¯s great and does the job, only con is i find myself cleaning it everyday to s pic the buildup it gets dirty quick and i find it can end up having some hard to clean areas that can catch mold if you are not thorough and really getting into those crevices. Otherwise pretty good humidifier"
64,I didn¡¯t know how much I needed this,"I wanted a humidifier that was easy to clean and monitored the ambient humidity of the room- this one is a game changer. Easy to use the app, easier to clean, and I love that you can set the level of humidity and adapt based on season and needs. I have it on in my kids¡¯ room and it¡¯s perfect. You can slightly hear the ultrasonic, but that¡¯s not an issue for us since we run a sound machine at night."
65,"Set and forget humidifier, very easy and effective.","Turns on, goes into sleep mode and turns off all on schedule.  Tells me when it's run out of water and keeps me from waking up feeling dry."
66,Great Humidifier and Very Easy to Use.  Highly Recommend.,"Very easy to use.  I have it interfaced with Alexa and it works fine. First Humidifier I have owned that matches with my Humidity indicators across the room.  So far, highly recommend this product."
67,terrific humidifier,"easy to fill, easy to clean, no noise"
68,It works great butÿ,"This humidifier works great, but we have only had it for 4 months and the black ring in the bottom that puts our the mist, is already disintegrating. I haven¡¯t used anything abrasive to clean it, I gently clean it every other week with a rag or my hand. It¡¯s difficult to clean because all the crevices build up with minerals from the water. But aside from that, it works well and is quiet when it runs. I give it 3 stars."
69,"Extremely quiet and easy to use, love this Humidifier!!!",You will love this humidifier. You can be a foot away and not hear it running !
70,Moistened up the room very quickly.,It didn¡¯t take long before the room air had moisture back in it. Which made sleeping so much easier.
71,Great expectations; great disappointment,"Researched humidifiers well before choosing this one. Excellent instructions; cleaned as instructed. Within two months, stopped working: no misting. WiFi was quirky but it worked. Called and wrote company. Not taking calls and no response to emails. This was expensive enough to last at least a year. Very disappointed both in product and lack of customer service. Happily, Amazon refunded my money. LeVoit: boo! Amazon: yayyy!"
72,works great!,"quiet, not silent I say.  More of a hum.  Puts out plenty of mist.  Hold 3 liters I believe and in 24 hours it can go through that.  I put a small fan behind it blowing the moisture around a bit more and love it!"
73,Love it,Great
74,Very leaky,"Just received this about 4 hours ago.  Luckily I read reviews before setting this up, so I set a pan under it. It started leaking from the spring part almost immediately. No amount of jiggling or fanangling would get it to stop. It filled this pan twice, rather quickly, as the tank continued to just flow into the base, overflowing the base.
Very frustrating. I ordered two and am iffy on even opening and trying the second one, but at least Amazon makes returns pretty simple just in case that one leaks like this, too."
75,Very good,Very good humidifier quiet and nice
76,Cannot adjust to a higher humidity level,"The only complaint I have is I cannot adjust the humidity level above the default humidity level of 50%.  I like to keep the humidifier at about 57% so by the time it reaches my bed it is around 52%-53%.  Other than that it is a great machine, quiet, easy to clean. And I love the Bluetooth feature!"
77,Not impressive,"Major flaws, on high, with outside temperatures in the teens or below, it will not keep a bedroom at 50%.  You can not set it at a specific level, just low, medium, high and automatic (which is horribly inconsistent).  Noise level is better than average.  All in all, it may do what you need, but its biggest sin is how quickly red mold forms.  You may need to wash thoroughly with vinegar every three days, as I did - after being stunned by sore throat on days 4 & 5 a few times.  Other humidifiers I've had only had red mold like this has when I forgot a weekly wash and went two weeks.  And this has many more areas needing swabs and toothpicks than other humidifiers I've had.

I would discourage buying this, knowing you can do better for 1/3 to 1/2 the price, or spend a little more and get significantly more."
78,Operation,Good product
79,Controls?,"I'm not sure I understand the controls. You can adjust what I believe is the mist intensity but I don't think you can dial in a percentage and maintain it. You can power on and off, control a sleep mode?, and turn off or dim all lights but it looks like the humidifier just runs until it's out of water.

I just found that part. You have to switch to auto operation and the adjustment screen is hidden as a pop-up. Seriously.
It looks nice and spews out a visible mist (more like a fog) so it's doing what I intended and I'm sure it's too small to ever over do it.

In spite of the directions I would never put anything but distilled water in it. If I did I'd spend half an hour a week descaling it."
80,Super cool & easy to use,"Easy to use, clean, connected to wifi and my phone"
81,Very quiet and efficient,"Love this humidifier.  It's in the bedroom and is so very quiet.  It doesn't gurgle when water level changes, the sound when the device is on low speed is non existent.  I haven't tried any of the more advanced features so cannot comment on those.  But for taking it out of the box, filling with distilled water, plugging it in and turning it on at low speed..................it's met every expectation."
82,Does a great job of adding humidity to our front room. I can feel the difference.,I like the top filling for adding water. My wife can just add small amounts as opposed to having to remove & carry the tank. It is very quiet & on high speed adds about 2 gallons of water to the room in a 24-hour period.
83,"Super quiet, easy to clean, bad app to open functions","By far the quietest humidifier I ever owned. Never really get above 30% humidity, which is typical for every other humidifier I've had. Easy to clean. I love you can turn the display off with it on. The touch buttons on the machine work well. Unfortunately you have to use their app to get more functions out of it and its an ad riddled mess of an app and almost not worth using. If they had this same model without the app and more buttons on the machine I would prefer that."
84,Good humidifier.,This unit is easy to use and gives out a good mist. My only complaint is that the instruction booklet is printed with such small letters ( and very light contrast) that it was hard for me to read - even with a magnifier.
85,Shuts off in Sleep Mode,Occasionally the humidifier will shut off randomly when in sleep mode and it¡¯s not in auto either. Otherwise I absolutely love it and so does my cat.
86,Good Buy,For me this was well worth the money. The size was good & you won't be able to tell Its on since it's super quite
87,does exactly what I was looking for also totally silent in operation  easy  to fill and to operate,It is silent in operation.  It is easy to fill and to maintain.
88,Do not buy!,Leaking water all over the bedroom floor (wall-to-wall carpet!!!) What a waste...
89,Works like a charm!  and SILENT!!!,Makes absolutely no noise.  Within 2 days the humidity was improved - we have it in a large open family room / kitchen  / sunroom - works great!
90,Totally quiet which is important for a bedroom.,helps improve the environment in the bedroom which was too dry.
91,Pleasant surprise,"It¡¯s absolutely quiet in the bedroom, which was a pleasant surprise. Plus it puts out about 3/4 gal water mist  in 8 hours on automatic. Have had it ten days and haven¡¯t cleaned it yet cuz I¡¯m using purified water. I¡¯m very pleased so far. Price seemed fair too."
92,Uses an excessive amount of water,"With forced air, natural gas heat with a 42% automode setting in 12 foot by 15 foot room with 9 foot ceilings, this apparatus uses an excessive amount of water.  Your expenditure for distilled water in one month will exceed the cost of this humidifier. My unit did not include any extra sponge filters.  A box of replacement filters is insanely expensive for what they are.  I have noticed no health benefits from using this product.  The only benefit is the reduction in static.  I cannot recommend this product."
93,Great product,Love the app functions and reminders to clean. Works great. The option to add essential oils is also a nice touch. It¡¯s not over powering either. Would buy again
94,Be prepared to spend a fortune on distilled water,If you use tap water with this humidifier you get white dust all over the room. And into your furnace filters. I also got a persistent cough from the calcium and magnesium dust. I stopped using mine and will sell it.
95,Best humidifier I¡¯ve ever owned,This unit is really easy to clean. I live in a dry climate and I use the humidifier at night. It¡¯s quiet and efficient and got a high rating in The NY Times
96,Buy extended warranty,"It worked wonderful, then after a month it will stop unexpectedly. I have reached out, no response yet."
97,Great humidifier,Does the job and works great
98,Humidity level automatic setting,I like that the humidifier has a default humidity setting of 45% with an upper range of 50%.  It helps me sleep better at night.
99,Sent used and dirty product,"Bought this for my new baby, was sent a used and dirty product. Out of the box it was covered in dust, had water stains, and smelled of essential oils. Totally unacceptable for the price point. Now I have to go through the hassle of returning it. Disappointing."
100,Must use distilled. Filter is not enough,I have a few others I use and don't have to use distilled water because they have great filters on them and remove the white dust effect. The filter on this is worthless. I like the machine otherwise but will be required to use distilled water which I don't have the time or the cares for.
101,Very good.,"Very helpful, we live it, no noise at all and looks good."
102,"Works well, efficient, difficulty cleaning.","I have really enjoyed my humidifier since I bought it. This is the first time I've really invested any money in a good humidifier, and I was pleased with how it ran. It looks nice, has a large enough tank for me, and keeps my plants happy. I have been thinking of buying 1-2 more to spread throughout my apartment.

However, I went to clean and descale my humidifier yesterday. I had to really take it apart to get all the scale off, since we have really hard water. Vinegar, a washcloth, paper towels, and q-tips did work fairly well to get it clean, but it was a long process. And by the end of it, the transducer plate was broken! I've now opened up the humidifier and removed the pieces of the transducer plate and the attached wires, and I'm really surprised by how fragile it is-- it doesn't surprise me that it broke as I was putting the humidifier back together. The humidifier now doesn't work, water leaks down into the base anyways, and a search for a new transducer hasn't turned anything up-- it would be nice if there were replacement parts I could order, as it isn't a complicated repair. I'm now trying to put the plate back together with some E6000, but I doubt this will work.

I'll be getting in touch with the company to see if I can get a replacement part, and will update my review accordingly."
103,Worked great until it decided to drain the entire tank of water on the floor,"This worked great for a month and 2 days, then once it was outside of Amazon's return window it leaked a full tank of water onto the floor.  Going in the trash now."
104,Great,Good
105,Best humidifier ever,"I have tried countless humidifiers trying to find the right one for my plants (and family lol). I love this humidifier so much I have purchased 4 of them to use throughout the house.

The automatic mode is great, I love being able to visually see the humidity levels, and the rotating spout lets you direct the mist without having to physically move the unit. Refill from the top! And it doesn¡¯t leave you with wet floors like some other units I¡¯ve tried.

It¡¯s hands down the best."
106,This is what I'm been looking for for a long time,"Changed several humidifiers in the past few years, none of them really made me satisfied. Either too noisy, or hard to clean even though they were not cheap at all. This is the perfect one. Powerful but quiet, and easy to clean. I'm very happy about it. Would recommend it to everyone."
107,No problems so far.,It seems to be working well. I actually bought it because of the Alexa integration but haven¡¯t actually turned it on.
108,Quiet and Efficient andÿ the APP makes it easy to access fro Anywhere..!!,Quiet and Efficient andÿ the APP makes it easy to access fro Anywhere..!!
109,Completely quiet.,This helps our air quality so much  It's quiet and shuts off automatically if it's out of water.
110,Pretty good product,"These are very quiet, works good with the app. The tanks could be bigger and the buttons on the base are hard to use. I have to do all the settings from the app. This is basically the only flaw."
111,Impossible to keep clean,"Everything about this product is excellent, except for cleaning it.  The unit must be cleaned often and it is a difficult task with lots of crevices'.  What a shame!"
112,Needs app to change humidity setting,The fact that this needs an app to change the humidity level is a deal breaker for me.  I tried it out but after a few days it would not connect to my wifi network anymore making this and other functionality useless.  This is a bad trend and  should not be supported.  Even if this device works for you now it very well may not in the future.
113,Useful Features,"Best humidifier I have ever owned by far. I have only owned the humidifier a few days. It is placed in my bedroom. As a retire I don't follow a schedule, so I haven't tried any programming. I turn it on at bedtime and off when I wake up. Just used it manually, and have not used all the features yet. I can say It is both quiet and economical. Still working on the water of the first tank fill after three nights."
114,Difficult to figure out unless you're good with apps and networks,"I'm 75, so notso good with apps, etc.  So when I couldn't turn the thing on right out of the box, and it was after call-in hours, I had to figure out how to download an app on my phone (including getting the apple ID and password right) and getting onto the home network (including getting the network IS and password right).

It took me more than an hour (though I was pleased with myself for getting it right.

I need to have more than 50% humidity for sleep, so I needed to be able to not use the 'smart' features, anyway.

What I think you should do it have an option for: just turn on and off, low, medium, and high.  I don't need my humidifier to be smarter than me (I already have to deal with that issue with my kids)."
115,Mold,Mold grows inside after a week. You will have to clean it every week to ensure it doesn¡¯t smell.
116,works well,i use this every day in our dry Michigan Winter weather. easy to use .has good features.
117,Great humidifier!!!,"I love this thing! It is so much easier to clean and use. I would totally recommend it and would buy again. The only downfall I see so far is that it is better suited for bedroom or used with another in larger spaces. It definitely doesn't cover 750sq ft.  Overall it is a great buy, well worth the price just for top fill alone."
118,The best,Humidifier works well and I love that is top loading. I can tell it what to do using my iPad or directly on the unit. It does not have the disturbing night lights which for some reason other humidifiers have which I found extremely annoying. So far so good!
119,Problems right out of the box,"No matter the water level it would not work for more than a few minutes without turning off and indicating to add water. Then one day it started working fine for no reason, I changed nothing. Then I wake up this morning and the tank is all spiderwebbed from the bottom up like it got to hot or something, now we're back to add more water. Junk..."
120,So far so good,Very quiet
121,Perfect for the bedroom,"Easy to use and setup. The wifi feature is nice as you can set reminders to clean it and setup the humidifier to come on before your going to bed to help get the rooms humidity level to what you prefer for sleeping. Can just barely hear a humming as it¡¯s running, has a night light built in to help give a soft glow to the surrounding area."
122,So Quiet and So Efficient,Using this humidifier in the bedroom. A much much better product than the last humidifier I had.
123,Perfect,I love that I am able to control this with my cellphone. No more dry skin in the winter.
124,"Nice, quiet humidifier","The aesthetics are Ok. Easy to fill, no drips or leaks whatever. Very quiet, even sitting next to it, the noise is just a whisper. In our 1200 sq foot great room it uses about 1.5 gallons/ day to raise the humidity from the lower 20¡¯s to mid 30¡¯s. We have been using it for about a month and are very happy with this purchase."
125,1 Star,Used for small bedroom. Doesn't help with the humidity level and gets very dirty after each use.
126,Leaks,"We've had this for 3 months. About a month ago, we noticed wet spots on the downstairs ceiling under this humidifier. I assumed I filled it wrong. Then I saw and it suddenly just started dripping down what it's sitting on. Now we need a humidifier and to paint the ceiling."
127,Dirty,Got moldy almost immediately
128,Humidifier,Great product and reliable
129,Don't do it.,This humidifier is only 3 months old. It leaked to the point that it bowed the wood of the dresser it was sitting on.
130,Excellent.,This thing pours water into the air.  Works very well.
131,Meh,"I wanted to be satisfied, but that's not the case, two weeks in and I am already having some troubleshooting issues. The only big win is that I don't have to constantly flip the water tank, I can just pour the water and it can run all night without having to fill it up every day"
132,Noice,It¡¯s works great
133,You have to fill the tank with distilled water,The product is great but it emits white dust if you use tap water which clogged 3 furnace filters in 3 weeks. Distilled water doesn't do this but it costs extra and you have to remember to buy it
134,Stopped working after one week,"Nicely sized water tank.  Unfortunately, humidifier only worked for a week."
135,A+,A+
136,Perfect,"Set up was extremely easy once I read the instructions lol. Press and hold the power button for 5sec. on initial setup - of course I kept holding it which performed a different function.  Outside of that, its perfect and easy. Quiet. I have mine set to auto with a specific humidity - its a small studio room with guitars. It shuts off and on as set, no issues and definitely improved my air quality as I have forced hot air - very dry.
Very happy with the purchase and the app. Just read instructions and follow them."
137,"Easy to use, very quiet","I was able to set this up within minutes. I love that it communicates with Alexa. This unit is extremely quiet, and produces a lot of humidity. A great buy."
138,Great humidifier,Great product. Easy to control humidity levels.
139,"Great product, great value",It¡¯s helped our entire home.
140,Spotty performance. Slow unresponsive (email) customer service!,"Purchased this from veSync¡¯s website. Worked fine for a week or so. Then it started to turn off without any reason, not having reached the set humidity level yet. I¡¯d turn it back on (either with the app or directly) and it would turn off again within minutes. Then it runs for days without a problem again. Pretty bad customer service all through email. It¡¯s been days since I sent them the pictures they requested of receipt, unit label and a shipping address. They haven¡¯t responded for seven days now!"
141,The phone app is a great feature and easy to use.,Very easy to fill with the lift-off lid. They are working great so far.
142,Great unit,"Easy to set up, it has an well designed app for setting timer and humidity level. Very quiet."
143,Quiet and easy to clean,"And when we contacted their support email for question about water filter, we received a reply with excellent detail.  Good CS, for this this date stamp."
144,Poor electronics!,"The on off button doesn't work well. Uou have to press it 6-8 times before it to work. I thought it was a fluke and asked for a replacement. Same thing, I sent it back again today."
